Timestamp;Latitude;Longitude;Bearing;Altitude;Speed (km/h);Location accuracy (in meters);Value X;Value Y;Value Z
2020-03-04 18:48:40;62.24520845;25.75989056;137.8;111.0;0.75179785;11.0;-0.15322891;-8.647857;-0.9672575
2020-03-04 18:48:41;62.24520845;25.75989056;137.8;111.0;0.75179785;11.0;0.40222588;-7.575254;-1.6184803
2020-03-04 18:48:41;62.24518004;25.75996271;153.2;111.0;1.1047624;8.0;1.2449849;-8.197746;0.6991069
2020-03-04 18:48:42;62.24518004;25.75996271;153.2;111.0;1.1047624;8.0;0.32561144;-3.1603463;-1.8962077
2020-03-04 18:48:42;62.24517125;25.75997205;153.4;111.0;1.0965856;9.0;1.1300632;-6.1770406;1.0055647
2020-03-04 18:48:43;62.24517125;25.75997205;153.4;111.0;1.0965856;9.0;-1.2545617;-13.637373;-0.22026655
2020-03-04 18:48:43;62.24517125;25.75997205;153.4;111.0;1.0965856;9.0;2.6048915;-12.871228;1.1971009
2020-03-04 18:48:44;62.24517125;25.75997205;153.4;111.0;1.0965856;9.0;3.620033;-10.726024;-2.0685902
2020-03-04 18:48:44;62.24515323;25.76004765;136.1;112.0;1.3024591;7.0;-4.0892963;2.3942018;2.432509
2020-03-04 18:48:46;62.24513641;25.76008221;136.2;112.0;1.29062;8.0;8.034941;-13.148955;-0.095768064
2020-03-04 18:48:48;62.24513792;25.76008617;135.8;117.0;0.54129475;8.0;3.0454245;-8.743625;0.4213795
2020-03-04 18:48:50;62.2451032;25.76012179;135.5;117.0;0.99297535;7.0;-2.4229321;-4.7788267;7.8912888
2020-03-04 18:48:57;62.24509523;25.76012389;135.5;117.0;0.9392018;8.0;0.78529817;-4.8841715;-1.541866
2020-03-04 18:48:59;62.24504621;25.76030121;141.4;118.0;1.322422;8.0;-0.23942018;-22.112846;3.3327289
2020-03-04 18:49:01;62.24502764;25.76033287;141.5;118.0;1.320606;9.0;-0.33518824;-1.2162545;-1.6376339
2020-03-04 18:49:03;62.24502764;25.76033287;141.5;118.0;1.320606;9.0;1.6663644;-9.414001;-0.4405331
2020-03-04 18:49:10;62.24499548;25.76026331;142.1;116.0;1.1900421;7.0;1.5035586;-7.422025;0.81402856
2020-03-04 18:49:12;62.24491477;25.76056119;143.5;114.0;0.89269257;9.0;1.8100165;-16.22311;-3.7924154
2020-03-04 18:49:14;62.24491477;25.76056119;143.5;114.0;0.89269257;9.0;0.2777274;-8.054094;-0.61291564
2020-03-04 18:49:19;62.24487361;25.76065356;141.6;111.0;1.4800338;8.0;1.2162545;-13.378799;0.16280572
2020-03-04 18:49:21;62.24484763;25.76080809;128.5;117.0;1.6819334;7.0;6.9048777;-15.811308;-0.22026655
2020-03-04 18:49:28;62.2448383;25.76083331;128.5;117.0;1.6750523;8.0;1.532289;-8.293514;1.8866309
2020-03-04 18:49:30;62.24472639;25.76098774;132.5;120.0;1.61;9.0;5.602432;-15.840038;-1.0630256
2020-03-04 18:49:32;62.24469844;25.76098637;138.6;117.0;1.36;6.0;1.9057846;-7.603985;1.8770541
2020-03-04 18:49:39;62.2446628;25.76105582;131.0;119.0;1.5802848;7.0;0.90979666;-7.795521;-0.9576807
2020-03-04 18:49:39;62.2446628;25.76105582;131.0;119.0;1.5802848;7.0;-1.532289;-13.532028;10.304645
2020-03-04 18:49:40;62.24461584;25.76120901;132.2;120.0;1.46;8.0;2.2122424;-15.275007;1.436521
2020-03-04 18:49:40;62.24461584;25.76120901;132.2;120.0;1.46;8.0;-1.5227122;-17.688362;15.437813
2020-03-04 18:49:41;62.24460701;25.76122986;132.2;120.0;1.46;9.0;2.6048915;-10.831368;0.79487497
2020-03-04 18:49:41;62.24460701;25.76122986;132.2;120.0;1.46;9.0;-0.7757214;-2.7964275;1.7525556
2020-03-04 18:49:42;62.24460701;25.76122986;132.2;120.0;1.46;9.0;1.1204864;-7.824251;0.37349546
2020-03-04 18:49:42;62.24460701;25.76122986;132.2;120.0;1.46;9.0;-0.16280572;-2.3942018;-2.2026656
2020-03-04 18:49:43;62.24460195;25.76120101;132.8;118.0;1.4527905;5.0;0.40222588;-8.025364;-1.5801731
2020-03-04 18:49:43;62.24460195;25.76120101;132.8;118.0;1.4527905;5.0;-1.0726024;-14.087482;-0.24899697
2020-03-04 18:49:44;62.24460003;25.76098133;137.7;109.0;1.3885244;5.0;4.606444;-18.521544;-2.3463178
2020-03-04 18:49:44;62.24460003;25.76098133;137.7;109.0;1.3885244;5.0;-0.39264908;-19.211075;-2.7964275
2020-03-04 18:49:45;62.24459116;25.76103286;137.2;110.0;1.242578;4.0;-2.1739352;1.4939818;-5.48751
2020-03-04 18:49:45;62.24459116;25.76103286;137.2;110.0;1.242578;4.0;1.1683705;-11.224017;-0.32561144
2020-03-04 18:49:46;62.2445722;25.76105349;128.4;109.0;1.9;4.0;-2.078167;-16.577452;12.459426
2020-03-04 18:49:46;62.2445722;25.76105349;128.4;109.0;1.9;4.0;1.2162545;-12.038046;2.96881
